geography code,total,W0,W1,W2,W3,W4,M0,M1,M2,M3,M4,A0,A1,A2,A3,A4,A5,B0,B1,B2,B3,O0,O1,O2
E02002559,8842,8614,8495,18,39,62,90,30,10,29,21,103,51,7,6,20,19,24,15,4,5,11,7,4
E02002560,5997,5870,5804,13,10,43,53,24,1,18,10,53,32,0,7,2,12,15,3,11,1,6,0,6
E02002561,5741,5604,5514,20,3,67,56,28,1,16,11,73,14,13,5,31,10,6,4,2,0,2,2,0
E02002562,6066,5834,5655,4,9,166,106,42,7,41,16,93,37,7,13,13,23,25,17,6,2,8,3,5
E02002563,5463,5332,5268,13,2,49,61,38,7,8,8,44,14,2,0,12,16,20,11,7,2,6,1,5
E02002564,9502,9334,9221,12,6,95,61,29,3,16,13,80,54,0,6,6,14,13,1,8,4,14,7,7
E02002565,5450,5262,5132,16,2,112,54,24,0,13,17,95,49,3,7,17,19,9,6,1,2,30,14,16
E02002566,6918,6061,5623,33,28,377,96,27,4,29,36,663,121,41,385,46,70,65,40,19,6,33,16,17
E02002567,7254,6956,6734,17,69,136,97,40,23,28,6,130,43,3,23,18,43,42,25,13,4,29,7,22
E02002568,5905,5722,5569,29,8,116,77,23,8,24,22,79,35,14,0,12,18,9,7,1,1,18,8,10
E02002569,9095,8779,8637,42,20,80,66,20,3,26,17,197,105,15,6,29,42,19,3,7,9,34,19,15
E02002570,8213,7788,7453,29,90,216,85,43,6,20,16,289,73,19,41,80,76,30,19,8,3,21,7,14
E02002571,6516,6298,5973,29,36,260,75,35,11,20,9,85,34,4,2,9,36,47,36,8,3,11,0,11
E02002572,6312,6032,5838,24,12,158,110,44,7,36,23,133,39,16,9,30,39,23,11,9,3,14,10,4
E02002573,8290,8109,7982,29,16,82,59,16,6,26,11,88,25,1,13,24,25,10,8,1,1,24,11,13
E02004290,5981,5890,5830,7,8,45,24,9,0,11,4,63,4,18,10,25,6,1,1,0,0,3,2,1
E02004291,6787,6721,6660,14,2,45,21,2,0,15,4,40,3,9,2,12,14,3,2,0,1,2,0,2
E02004292,7916,7756,7659,10,27,60,60,27,6,15,12,94,38,22,13,13,8,3,0,1,2,3,2,1
E02004293,9379,9236,9133,19,7,77,47,10,14,13,10,76,23,7,9,24,13,11,10,1,0,9,6,3
E02004294,8484,8343,8269,22,0,52,45,13,5,18,9,73,25,1,0,31,16,13,10,2,1,10,0,10
E02004295,7537,7432,7353,18,0,61,58,20,10,22,6,44,25,2,0,5,12,1,1,0,0,2,1,1
E02004296,8033,7900,7809,19,2,70,42,10,3,14,15,74,32,0,8,19,15,7,2,3,2,10,9,1
E02004297,7900,7820,7753,20,0,47,33,10,7,11,5,35,0,3,0,14,18,3,1,1,1,9,4,5
E02004298,9703,9586,9489,19,2,76,52,17,2,17,16,46,9,17,1,10,9,10,3,5,2,9,3,6
