geography code,total,1E_0C,1A_0C,1A_1C,2E_0C,2A_1C,2A_0C,2A_3C,3A_1C,3A_0C
E02002559,3646,328,530,147,502,668,825,100,163,383
E02002560,2511,258,363,129,348,398,515,57,129,314
E02002561,2507,263,381,127,362,322,607,55,85,305
E02002562,2933,421,821,249,223,322,490,44,104,259
E02002563,2343,345,356,145,318,242,493,61,106,277
E02002564,4137,659,667,285,466,554,736,131,191,448
E02002565,2667,283,744,214,233,311,554,38,56,234
E02002566,3475,410,1266,248,174,290,689,71,123,204
E02002567,3209,499,574,306,391,353,552,92,143,299
E02002568,2634,423,487,71,391,361,483,70,106,242
E02002569,3912,698,311,75,948,515,657,86,157,465
E02002570,3723,527,878,340,335,395,701,73,167,307
E02002571,2758,301,496,267,324,409,499,78,126,258
E02002572,2727,288,609,254,232,356,502,94,124,268
E02002573,3488,421,494,153,556,510,753,70,159,372
E02004290,2518,260,352,103,351,387,553,47,110,355
E02004291,3131,442,652,207,331,381,622,42,118,336
E02004292,3523,541,455,139,697,455,642,53,150,391
E02004293,4412,782,969,269,483,532,693,55,184,445
E02004294,3655,418,560,127,549,551,757,58,157,478
E02004295,3213,398,440,208,507,464,623,64,132,377
E02004296,3529,435,617,180,454,470,734,69,144,426
E02004297,3550,445,592,166,488,455,811,57,124,412
E02004298,4178,500,649,168,642,583,925,73,174,464
E02004299,3758,509,656,223,495,495,767,62,145,406
E02004300,3491,552,641,234,488,370,574,88,147,397
E02004301,3913,470,820,356,374,497,734,96,181,385
E02004302,3530,445,744,275,414,357,681,76,154,384
E02004303,5253,743,1081,297,579,711,1034,73,205,530
E02004304,3896,545,666,283,490,516,713,62,176,445
E02004305,3816,531,680,287,446,508,698,86,179,401
E02004306,2681,412,405,107,472,310,550,45,94,286
E02004307,2878,412,485,166,327,424,567,47,117,333
E02004308,2987,341,465,79,484,394,665,40,124,395
E02004309,2769,428,554,116,382,331,555,53,87,263
E02004310,3526,443,608,208,470,477,714,63,134,409
E02004311,4118,523,775,244,543,536,855,75,155,412
E02004312,3409,495,422,108,751,365,681,38,124,425
E02004313,2957,342,659,186,296,251,596,66,104,457
E02004314,2363,333,445,19,226,68,443,15,33,781
E02004315,3845,329,589,95,469,568,816,97,172,710
E02004316,2644,357,544,145,309,304,549,52,80,304
E02004317,3554,514,757,213,414,408,692,70,122,364
E02004318,2666,358,484,108,350,344,543,60,111,308
E02004319,3293,440,558,167,425,465,658,71,138,371
E02004320,3851,520,543,176,509,560,807,52,194,490
E02004321,3662,517,681,241,388,435,669,62,155,514
E02004322,3769,563,694,343,461,435,590,82,171,430
E02004323,3337,399,525,214,405,474,645,44,154,477
E02004324,2588,327,461,202,361,308,501,45,95,288
E02004325,3722,492,738,357,344,481,612,85,189,424
E02004326,2713,391,523,176,317,341,456,67,136,306
E02004327,2913,429,591,230,388,310,483,50,121,311
E02004328,3115,432,459,249,365,423,528,66,185,408
E02004329,2807,303,408,132,419,340,556,56,158,435
E02004330,2742,445,456,149,438,302,496,49,102,305
E02004331,3084,441,547,195,392,369,535,71,145,389
E02004332,3113,380,494,176,353,466,639,69,135,401
E02004333,3195,454,438,126,491,437,687,44,123,395
E02004334,3192,445,491,196,410,410,590,78,155,417
E02004335,2929,405,714,209,332,324,473,68,134,270
E02004336,3264,567,656,158,501,325,552,49,105,351
E02004337,4037,530,690,224,488,560,845,77,172,451
E02004338,3029,392,583,199,388,400,548,54,132,333
E02004339,2997,416,395,91,520,443,634,55,115,328
E02004340,4812,786,991,353,561,520,829,96,159,517
E02004341,3474,254,508,154,483,560,843,79,174,419
E02004342,2401,211,480,284,218,345,411,102,135,215
E02004343,2492,433,395,186,356,274,412,49,106,281
E02004344,3244,570,463,164,545,331,592,48,122,409
E02004345,5755,855,922,245,910,660,1199,126,229,609
E02004346,2344,314,351,78,424,262,506,43,89,277
E02004347,3012,542,546,107,526,307,546,40,109,289
E02004348,3700,567,602,130,642,417,740,58,143,401
E02004349,4081,620,734,269,490,534,696,117,162,459
E02004350,4378,539,850,217,579,577,957,68,146,445
E02004351,3135,456,580,240,380,356,591,64,133,335
E02004352,3409,431,749,212,384,396,668,48,134,387
E02004353,3313,426,535,170,556,428,626,66,142,364
E02004354,3891,458,726,299,435,497,817,79,164,416
E02004355,3247,440,671,328,339,369,536,71,147,346
E02002483,3847,474,556,222,475,619,779,90,198,434
E02002484,4553,666,1013,400,439,508,722,118,231,456
E02002485,3474,485,715,294,371,433,561,66,173,376
E02002487,2765,289,1005,227,156,219,522,63,75,209
E02002488,2512,314,317,89,396,362,488,54,137,355
E02002489,3532,463,1012,303,274,327,538,95,193,327
E02002490,2857,342,714,250,251,320,536,40,115,289
E02002491,2887,567,430,214,388,323,428,63,149,325
E02002492,2924,456,521,196,311,360,552,69,132,327
E02002493,2698,406,302,111,436,338,542,61,136,366
E02002494,3399,424,726,427,327,395,486,84,162,368
E02006909,4986,658,537,154,886,697,1004,85,299,666
E02002496,4349,390,1371,276,147,355,710,211,250,639
E02002497,2815,366,650,347,199,288,498,87,126,254
E02002498,3820,401,1060,334,199,354,656,88,166,562
E02002499,3005,445,417,445,274,345,395,104,194,386
E02002500,2339,248,488,145,208,244,428,97,160,321
E02002501,2228,275,453,195,189,267,380,67,129,273
E02002502,4180,595,898,419,413,395,620,124,247,469
E02002503,2567,270,367,275,257,339,431,76,209,343
E02002504,3719,352,599,190,383,483,720,152,285,555
E02002505,2531,314,367,379,218,301,383,64,161,344
E02002506,2426,312,523,280,216,283,355,76,150,231
E02002507,2498,383,292,80,407,310,455,63,159,349
E02002508,2118,409,198,65,413,207,307,68,140,311
E02002509,2343,332,365,192,262,272,396,60,137,327
E02002510,2482,389,280,84,475,254,455,32,123,390
E02002512,2205,278,239,84,401,346,433,49,107,268
E02002513,3824,493,749,315,432,468,666,102,189,410
E02002514,3827,526,719,184,357,508,741,88,225,479
E02006811,3927,512,383,108,757,505,770,105,225,562
E02005702,2690,363,309,62,586,355,578,66,119,252
E02005703,3150,527,686,132,383,356,577,69,128,292
E02005704,5508,814,731,227,956,638,1164,113,231,634
E02005705,3407,495,453,67,719,355,805,82,129,302
E02005706,4329,680,811,235,575,523,864,86,161,394
E02005707,3123,488,390,89,668,361,689,52,138,248
E02005708,5013,884,793,123,1019,464,1030,75,166,459
E02005709,2984,447,646,269,288,372,467,106,134,255
E02005710,4067,597,1059,242,369,475,771,57,132,365
E02005711,3680,590,578,259,485,484,670,100,166,348
E02005712,2914,285,481,213,357,373,603,94,170,338
E02005713,2736,225,299,100,417,454,692,43,130,376
E02005714,2003,67,182,63,220,536,536,31,122,246
E02005715,3714,455,686,252,474,461,771,116,148,351
E02005716,3732,414,556,190,417,537,973,71,179,395
E02005717,3598,628,486,130,639,432,729,43,117,394
E02005718,3085,412,514,100,559,326,671,32,100,371
E02005719,3536,441,751,165,497,434,695,68,120,365
E02005720,4822,625,699,250,740,609,1109,108,184,498
E02005721,2140,288,382,86,260,340,411,52,75,246
E02005722,2990,321,365,77,546,401,730,90,143,317
E02005723,3124,678,654,161,425,274,504,56,88,284
E02005724,2548,333,218,47,576,366,504,52,121,331
E02005725,2792,528,300,71,599,309,414,65,153,353
E02005726,3008,361,210,54,739,415,505,96,179,449
E02005727,2839,373,384,61,532,325,658,63,99,344
E02005728,3172,475,502,108,548,358,621,71,113,376
E02005729,2395,333,328,70,384,327,530,65,91,267
E02005730,5725,902,927,226,958,704,1007,130,230,641
E02005731,4533,542,654,234,596,692,910,130,199,576
E02005732,3905,599,482,63,814,460,777,88,156,466
E02005733,3487,462,474,97,615,411,766,85,166,411
E02005734,2853,444,506,210,419,284,510,77,108,295
E02005735,3621,401,867,323,337,442,659,75,137,380
E02005736,3369,431,701,218,391,451,613,78,144,342
E02005737,3232,515,518,161,434,378,645,45,140,396
E02005738,2188,256,309,78,329,317,475,32,100,292
E02005739,4257,581,653,240,705,523,921,86,159,389
E02005740,4677,676,958,309,517,575,878,105,180,479
E02005741,3588,471,497,167,530,528,699,76,170,450
E02002515,3270,412,930,268,264,358,590,48,111,289
E02002516,2432,399,347,160,321,305,375,59,143,323
E02002517,2386,406,360,180,329,276,386,47,118,284
E02002518,4510,625,555,189,647,714,868,81,248,583
E02002519,3153,553,552,211,424,326,542,71,167,307
E02002520,5772,892,721,217,1115,755,998,109,258,707
E02002521,2865,507,679,127,397,286,505,39,90,235
E02002523,2716,282,528,432,172,380,425,77,148,272
E02002524,2291,253,337,123,359,313,480,59,111,256
E02002525,3772,659,621,236,486,403,661,45,159,502
E02002526,3189,367,503,189,413,460,666,89,145,357
E02002527,2254,296,475,178,250,257,395,62,127,214
E02002529,2620,382,514,140,361,290,456,41,112,324
E02002530,2881,435,446,141,451,327,526,56,146,353
E02002532,2933,546,588,194,311,324,511,50,117,292
E02002533,2437,294,292,111,456,323,494,47,113,307
E02002534,2469,336,263,44,529,306,534,36,114,307
E02006812,3354,541,566,197,553,343,535,51,147,421
E02006910,4301,606,667,303,584,484,720,86,242,609
E02002535,4062,390,543,131,504,629,910,81,236,638
E02002536,4239,698,600,298,643,499,698,92,188,523
E02002537,3673,416,608,341,447,465,562,123,226,485
E02002538,2429,328,322,174,287,322,447,94,140,315
E02002539,3517,335,338,82,669,532,768,82,203,508
E02002540,2808,446,347,78,473,335,607,50,100,372
E02002541,2870,412,541,152,377,343,562,63,120,300
E02002542,3358,437,480,312,348,406,566,112,244,453
E02002543,3356,411,538,339,295,472,590,115,200,396
E02002544,3391,417,753,337,292,424,613,83,160,312
E02002545,2294,272,284,77,376,309,494,36,105,341
E02002546,3103,307,548,354,254,408,503,96,218,415
E02002547,2765,508,290,72,516,308,511,56,136,368
E02002548,4986,582,1622,393,281,463,841,143,228,433
E02002549,3361,532,349,100,685,382,606,58,165,484
E02002550,2670,334,452,126,385,346,474,60,155,338
E02002551,2739,316,747,254,160,263,528,52,103,316
E02002552,2798,312,363,236,287,376,607,74,168,375
E02002553,2585,399,424,170,350,312,466,60,131,273
E02002554,2355,290,377,216,334,242,440,55,120,281
E02002555,4137,511,514,174,671,626,819,92,204,526
E02002556,2726,180,317,105,311,502,630,82,192,407
E02002557,4792,105,574,268,198,1444,1057,227,406,513
E02002558,4145,478,639,152,665,499,924,77,179,532
E02001682,3431,472,492,161,550,478,679,64,149,386
E02001683,4002,529,641,184,551,545,826,87,138,501
E02001684,3311,411,841,268,305,347,677,40,108,314
E02001685,3612,504,646,272,410,502,640,96,153,389
E02001686,3168,484,505,130,482,388,647,37,146,349
E02001688,3799,436,1137,285,223,414,832,49,146,277
E02001689,3351,393,908,202,231,329,638,117,187,346
E02001690,3325,437,559,218,408,474,655,62,154,358
E02001691,3876,375,1165,244,263,402,838,80,147,362
E02001692,2765,272,593,287,237,339,487,73,151,326
E02001693,2633,471,510,202,307,263,437,42,98,303
E02001694,2814,356,425,148,387,365,553,54,145,381
E02001695,2702,331,381,130,316,411,596,50,134,353
E02001696,4065,654,536,342,533,552,683,90,194,481
E02001697,3386,449,550,130,443,507,697,55,157,398
E02001698,3202,513,319,70,731,408,612,62,97,390
E02001699,3124,484,527,197,432,369,554,50,127,384
E02001700,4585,608,688,243,607,690,866,81,181,621
E02001701,2763,467,396,54,427,381,537,41,104,356
E02001702,3522,498,735,324,349,378,552,93,197,396
E02001703,2435,375,244,82,516,313,437,46,131,291
E02001704,3380,538,717,163,548,354,502,65,145,348
E02001705,3200,459,617,198,399,371,610,60,121,365
E02001706,2924,418,479,198,387,380,543,62,140,317
E02001707,3599,520,517,216,536,472,651,65,175,447
E02006841,3949,388,1533,150,160,242,1078,31,76,291
E02006842,2231,296,514,112,183,264,453,71,84,254
E02001708,4122,453,722,183,446,612,868,100,180,558
E02001709,4218,568,549,120,628,755,810,130,213,445
E02001710,4381,673,952,332,450,483,687,92,252,460
E02001711,4129,573,745,379,472,506,674,99,218,463
E02001712,4214,529,815,108,436,594,994,95,160,483
E02001713,4389,621,755,131,521,648,887,134,215,477
E02001714,3901,429,594,102,439,641,851,110,216,519
E02001715,4712,561,939,390,398,648,827,164,284,501
E02001718,2427,391,447,150,292,287,367,76,141,276
E02001719,3759,513,555,123,453,514,761,72,184,584
E02001720,3343,258,621,20,167,174,707,31,96,1269
