geography code,total,M,F
E02002559,8842,4364,4478
E02002560,5997,2987,3010
E02002561,5741,2781,2960
E02002562,6066,3001,3065
E02002563,5463,2606,2857
E02002564,9502,4571,4931
E02002565,5450,2601,2849
E02002566,6918,3613,3305
E02002567,7254,3479,3775
E02002568,5905,2857,3048
E02002569,9095,4324,4771
E02002570,8213,4005,4208
E02002571,6516,3181,3335
E02002572,6312,3074,3238
E02002573,8290,4039,4251
E02004290,5981,2951,3030
E02004291,6787,3286,3501
E02004292,7916,3824,4092
E02004293,9379,4476,4903
E02004294,8484,4145,4339
E02004295,7537,3564,3973
E02004296,8033,3996,4037
E02004297,7900,3918,3982
E02004298,9703,4757,4946
E02004299,8474,4169,4305
E02004300,7686,3720,3966
E02004301,8894,4343,4551
E02004302,7747,3796,3951
E02004303,11457,5714,5743
E02004304,8892,4272,4620
E02004305,8640,4195,4445
E02004306,5789,2839,2950
E02004307,6570,3154,3416
E02004308,7819,4136,3683
E02004309,5902,2777,3125
E02004310,7962,3874,4088
E02004311,9108,4416,4692
E02004312,7549,3639,3910
E02004313,6684,3320,3364
E02004314,12248,6354,5894
E02004315,10184,5118,5066
E02004316,5683,2794,2889
E02004317,7663,3710,3953
E02004318,6099,2950,3149
E02004319,7474,3704,3770
E02004320,8956,4412,4544
E02004321,8345,4150,4195
E02004322,8490,3967,4523
E02004323,7906,3981,3925
E02004324,5732,2888,2844
E02004325,8722,4199,4523
E02004326,6190,3082,3108
E02004327,6374,3096,3278
E02004328,7337,3482,3855
E02004329,6772,3332,3440
E02004330,5944,2887,3057
E02004331,7085,3515,3570
E02004332,7278,3540,3738
E02004333,7181,3570,3611
E02004334,7370,3586,3784
E02004335,6289,3031,3258
E02004336,6876,3351,3525
E02004337,9106,4499,4607
E02004338,6761,3308,3453
E02004339,6879,3371,3508
E02004340,10363,5067,5296
E02004341,8417,4177,4240
E02004342,5967,2870,3097
E02004343,5527,2599,2928
E02004344,7034,3347,3687
E02004345,12759,6262,6497
E02004346,5241,2595,2646
E02004347,7040,3585,3455
E02004348,8063,3967,4096
E02004349,9228,4525,4703
E02004350,9614,4720,4894
E02004351,7025,3453,3572
E02004352,7566,3722,3844
E02004353,7549,3560,3989
E02004354,8755,4276,4479
E02004355,7257,3397,3860
E02002483,9084,4361,4723
E02002484,10316,5070,5246
E02002485,7835,3773,4062
E02002487,5357,2754,2603
E02002488,6110,2960,3150
E02002489,7927,3993,3934
E02002490,6079,2927,3152
E02002491,6559,3131,3428
E02002492,6684,3176,3508
E02002493,6458,3142,3316
E02002494,7750,3687,4063
E02006909,11869,5777,6092
E02002496,11646,6400,5246
E02002497,6268,2978,3290
E02002498,8584,4593,3991
E02002499,7516,3374,4142
E02002500,5919,2922,2997
E02002501,5346,2606,2740
E02002502,9615,4700,4915
E02002503,6515,3096,3419
E02002504,9711,4837,4874
E02002505,6254,2836,3418
E02002506,5932,2833,3099
E02002507,6027,2927,3100
E02002508,5074,2429,2645
E02002509,5583,2708,2875
E02002510,5712,2743,2969
E02002512,5305,2585,2720
E02002513,8844,4215,4629
E02002514,8967,4290,4677
E02006811,9594,4660,4934
E02005702,6554,3235,3319
E02005703,6766,3206,3560
E02005704,12408,6039,6369
E02005705,7509,3708,3801
E02005706,9620,4560,5060
E02005707,6897,3364,3533
E02005708,10450,5141,5309
E02005709,6860,3276,3584
E02005710,8431,4164,4267
E02005711,8341,3999,4342
E02005712,7030,3433,3597
E02005713,6677,3300,3377
E02005714,5380,2646,2734
E02005715,8633,4077,4556
E02005716,8783,4192,4591
E02005717,7805,3715,4090
E02005718,6617,3231,3386
E02005719,7617,3784,3833
E02005720,12092,6458,5634
E02005721,5180,2586,2594
E02005722,7115,3488,3627
E02005723,6281,2917,3364
E02005724,6146,3035,3111
E02005725,6516,3086,3430
E02005726,7708,3912,3796
E02005727,6398,3193,3205
E02005728,7102,3519,3583
E02005729,5620,2696,2924
E02005730,13097,6224,6873
E02005731,10853,5242,5611
E02005732,9052,4366,4686
E02005733,8136,4031,4105
E02005734,6308,3034,3274
E02005735,7940,3928,4012
E02005736,7555,3732,3823
E02005737,7227,3469,3758
E02005738,5067,2477,2590
E02005739,9464,4535,4929
E02005740,10275,5024,5251
E02005741,8518,4102,4416
E02002515,6810,3459,3351
E02002516,5734,2791,2943
E02002517,5380,2588,2792
E02002518,10723,5165,5558
E02002519,7045,3313,3732
E02002520,13176,6416,6760
E02002521,5958,2872,3086
E02002523,6514,3063,3451
E02002524,5394,2669,2725
E02002525,8357,4007,4350
E02002526,7454,3622,3832
E02002527,5177,2569,2608
E02002529,5736,2833,2903
E02002530,6519,3289,3230
E02002532,6261,3014,3247
E02002533,5758,2788,2970
E02002534,5758,2816,2942
E02006812,7353,3519,3834
E02006910,10070,4862,5208
E02002535,10032,4902,5130
E02002536,9595,4561,5034
E02002537,9013,4326,4687
E02002538,5989,2941,3048
E02002539,8793,4310,4483
E02002540,6286,3027,3259
E02002541,6301,3148,3153
E02002542,8341,4003,4338
E02002543,8255,3917,4338
E02002544,8594,4662,3932
E02002545,5395,2641,2754
E02002546,7739,3791,3948
E02002547,6343,3045,3298
E02002548,11233,5752,5481
E02002549,7844,3712,4132
E02002550,6398,3126,3272
E02002551,6531,3215,3316
E02002552,6814,3332,3482
E02002553,5891,2871,3020
E02002554,5505,2592,2913
E02002555,9928,4813,5115
E02002556,7160,3603,3557
E02002557,13885,6858,7027
E02002558,9745,4934,4811
E02001682,7853,3800,4053
E02001683,9134,4392,4742
E02001684,6867,3336,3531
E02001685,8256,3963,4293
E02001686,7099,3371,3728
E02001688,7726,3931,3795
E02001689,8243,4359,3884
E02001690,7579,3735,3844
E02001691,8327,4202,4125
E02001692,6414,3085,3329
E02001693,5613,2727,2886
E02001694,6565,3196,3369
E02001695,6345,3128,3217
E02001696,9399,4453,4946
E02001697,7823,3780,4043
E02001698,7272,3559,3713
E02001699,6980,3394,3586
E02001700,10606,5090,5516
E02001701,6320,3070,3250
E02001702,8055,3899,4156
E02001703,5702,2742,2960
E02001704,7156,3454,3702
E02001705,7045,3419,3626
E02001706,6653,3183,3470
E02001707,8367,4045,4322
E02006841,7487,3971,3516
E02006842,5328,2690,2638
E02001708,9735,4729,5006
E02001709,10237,4982,5255
E02001710,9826,4781,5045
E02001711,9703,4654,5049
E02001712,9924,4938,4986
E02001713,10492,5137,5355
E02001714,9817,4833,4984
E02001715,11323,5577,5746
E02001718,5655,2737,2918
E02001719,9339,4621,4718
E02001720,9726,5132,4594
E02001721,10261,4964,5297
E02001722,9667,4582,5085
E02001723,6368,2981,3387
E02001724,9211,4831,4380
E02001725,10336,5491,4845
E02001726,11839,5703,6136
E02001727,8530,4210,4320
E02001728,9734,4695,5039
E02001729,12296,6834,5462
E02001730,12926,6833,6093
E02001731,12281,6665,5616
E02001732,5031,2449,2582
E02001733,11885,5929,5956
E02001734,7663,3706,3957
E02001735,6614,3063,3551
E02001736,12990,6923,6067
E02001737,6054,3095,2959
E02006893,10714,5151,5563
E02001738,5625,2746,2879
E02001739,7508,3669,3839
E02001740,5789,2838,2951
E02001741,6967,3289,3678
E02001742,6037,2824,3213
E02001743,7569,3774,3795
E02001744,6531,3113,3418
E02001745,6357,3037,3320
E02001746,8334,3993,4341
E02001747,6180,2993,3187
E02001748,7532,3608,3924
E02001749,6161,3007,3154
